id,name,url,institution
867,The Modern and the Postmodern (Part 2),https://www.classcentral.com/course/modern-postmodern-2-4339,Wesleyan University
868,東坡詞 (Ci Poetry of Su Dong Po),https://www.classcentral.com/course/dpc-3318,National Taiwan University
869,El Valle de los Reyes,https://www.classcentral.com/course/valle-de-los-reyes-8793,Universitat Autònoma de Barcelona (Autonomous University of Barcelona)
870,"Corrección, estilo y variaciones de la lengua española",https://www.classcentral.com/course/correccion-estilo-variaciones-5340,Universitat Autònoma de Barcelona (Autonomous University of Barcelona)
871,"Gender, Family, and Social Change in Contemporary South Korea",https://www.classcentral.com/course/social-change-korea-8299,Yonsei University
872,Leer a Macondo: la obra de Gabriel García Márquez,https://www.classcentral.com/course/macondo-gabriel-garcia-marquez-4767,Universidad de los Andes
873,The Science of Training Young Athletes,https://www.classcentral.com/course/youth-sports-6208,University of Florida
874,Читаем русскую классику вместе. М. Булгаков «Мастер и Маргарита»,https://www.classcentral.com/course/bulgakov-master-i-margarita-5318,Tomsk State University
875,Big History – From the Big Bang until Today,https://www.classcentral.com/course/bighistory-7638,University of Amsterdam
876,The History of Modern Israel – Part II: Challenges of Israel as a sovereign state,https://www.classcentral.com/course/history-israel-sovereign-state-6969,Tel Aviv University
877,Soul Beliefs: Causes and Consequences – Unit 3: How Does It All End?,https://www.classcentral.com/course/soulbeliefs3-4228,Rutgers University
878,Writing your World: Finding yourself in the academic space ,https://www.classcentral.com/course/writing-your-world-8794,University of Cape Town
879,Cultural Competence – Aboriginal Sydney,https://www.classcentral.com/course/cultural-competence-aboriginal-sydney-8237,The University of Sydney
880,Introduction to Who Wrote Shakespeare,https://www.classcentral.com/course/shakespeare-10410,"Goldsmiths, University of London"
881,Russian History: from Lenin to Putin,https://www.classcentral.com/course/russian-history-lenin-putin-9573,"University of California, Santa Cruz"
882,The Holocaust: The Destruction of European Jewry,https://www.classcentral.com/course/the-holocaust-4222,"University of California, Santa Cruz"
883,Organising an Empire: The Assyrian Way,https://www.classcentral.com/course/organising-empire-assyrian-way-10145,Ludwig-Maximilians-Universität München
884,"Doping : Sports, Organizations and Sciences",https://www.classcentral.com/course/doping-5274,University of Lausanne
885,Data Science Ethics,https://www.classcentral.com/course/data-science-ethics-9630,University of Michigan
